Title,URL,Root Cause of Flakiness,Root Cause Category,Tests/Code Affected (to Reproduce),Testing Environment/Runner,Manifestation Category,How Fixed in Code,Fix Category,Link to Pull Request (if needed),,,,,,,,
test(docs-infra):'avoid'click-related'CI'flake'in'e2e'test'(#29641)\n\nOne'of'the'tests'introduced'in'#29601'is'susceptible'to'a'kind'of\nWebDriver'flake'related'to'trying'to'click'elements'hidden'behind'fixed\npositioned'elements.\nThis'commit'works'around'the'issue'by'clicking'the'elements'directly\nusing'JavaScript'(instead'of'`WebElement#click()`).\n\nPR'Close'#29641,https://github.com/angular/angular/commit/deca6a60ddddb45caae97942977591204a7e56f9,WebDriver click flaky when trying to click hidden elements,DOM Selector Issue,https://github.com/angular/angular/blob/deca6a60ddddb45caae97942977591204a7e56f9/aio/tests/e2e/app.e2e-spec.ts,"WebDriver, CircleCI",Unspecified,Changed WebElement#click() to JavaScript click event,Refactor Logic Implementation,https://github.com/angular/angular/pull/29641,,,,,,,,
test(animations):'make'e2e'tests'for'animations'docs'examples'less'flaky'(#26377)\n\nPR'Close'#26377,https://github.com/angular/angular/commit/31c462ae3f5b80002b6ef364706ddd73c0ed6f82,Used sleep to wait for animations to be complete,Animation Timing Issue,https://github.com/angular/angular/blob/31c462ae3f5b80002b6ef364706ddd73c0ed6f82/aio/content/examples/animations/e2e/src/app.e2e-spec.ts,"CircleCI, Jasmine",Run on Specific Platform,Changed sleep to asynchronous wait for element height to match expected height,Fix Await Mechanism,https://github.com/angular/angular/pull/26377,,,,,,,,
"test:'menu'tests'flaky'due'to'missing'animation'flush'(#17935)\n\nFollow-up'to:'1255139a38e5d8425bb6236c63c3d231301b21da\r\n\r\nTwo'recently'added'tests'for'the'menu/mdc-menu'and'the'MDC-one'from'the\r\ninitial'commit'seem'to'miss'a'`tick`'to'flush'the'open'animation.'Without\r\nthe'flush,'the'`FakeAsyncTestZone`'will'report'a'pending'timer'on'test'completion.",https://github.com/angular/components/commit/6ae74a0eb21268d4b107a052a8cf8ae63078bf99,Missing tick call to flush animation before checking element,Animation Timing Issue,https://github.com/angular/components/blob/6ae74a0eb21268d4b107a052a8cf8ae63078bf99/src/material-experimental/mdc-menu/menu.spec.ts,"CircleCI, Jasmine",Unspecified,Added tick statement to delay check,Fix Await Mechanism,https://github.com/angular/components/pull/17935,,,,,,,,
test:'fix'flaky'slide-toggle'test'with'pending'timer'task\n\nOne'of'the'slide-toggle'tests'has'become'quite'flaky'the\nlast'days'and'after'debugging'ZoneJS'it'turns'out'that\nthis'is'related'to'the'`(focus)`'event'from'the'`FocusMonitor`\nand'we'can'safely'improve'the'stability'of'the'test'by'removing\nthe'`fakeAsync`'which'isn't'needed'anyway.\n\nFor'reference:'Other'tests'asserting'the'`click`'event'on\nthe'slide-toggle'native'element'also'have'a'`tick()`\nspecified'but'we'don't'need'to'wait'for'pending'timers\nanyway..'so'we'can'just'remove'`fakeAsync'.,https://github.com/angular/components/commit/86da318c280ec6dc10260c411352086fc87515de,Unecessary extra wait through fakeAsync function causing instability in slide-toggle test,Incorrect Test Runner Interaction,https://github.com/angular/components/blob/86da318c280ec6dc10260c411352086fc87515de/src/material/slide-toggle/slide-toggle.spec.ts,"CircleCI, Jasmine",Unspecified,Removed fakeAsync function around test,Refactor Logic Implementation,https://github.com/angular/components/pull/16102,,,,,,,,
"build:'fix'IE'and'Edge'test'flakes'(#8909)\n\n*'Fixes'the'`OverlayKeyboardDispatcher`'tests'leaking'`.cdk-overlay-container`'instances'which'can'throw'off'any'subsequent'tests.'This'seems'to'be'what'is'causing'the'current'test'flakes'in'master'that'happen'if'the'tests'are'run'in'a'minimized'browser'window.\r\n*'Gets'rid'of'the'explicit'cleanup'of'overlay'containers'in'the'overlay'container'tests.'This'can'cause'tests'to'be'even'flakier'if'there'are'any'leaks,'in'addition'to'being'unnecessary'because'there'shouldn't'be'any'containers'to'begin'with.",https://github.com/angular/components/commit/253bff61613f39a463a83b24475af66c1de667d2,Container overlays that aren't cleaned when test is run with browser minimized,Layout Difference,https://github.com/angular/components/blob/253bff61613f39a463a83b24475af66c1de667d2/src/cdk/overlay/keyboard/overlay-keyboard-dispatcher.spec.ts,"CircleCI, Jasmine",Force Environment Conditions,Call destroy method on overlay components after each test,Refactor Logic Implementation,https://github.com/angular/components/pull/8909,,,,,,,,
chore(select):'avoid'test'flakes'due'to'sub-pixel'deviations'(#7281)\n\nFixes'some'tests'that'were'failing'when'they're'run'against'Chrome'on'Windows'due'to'sub-pixel'measurement'differences.,https://github.com/angular/components/commit/3982cc8b60facd3c1d6baf493c8de955ccd0682d,Positioning test failed on Chrome on Windows due to subpixel dfferences,Platform Issue,https://github.com/angular/components/blob/3982cc8b60facd3c1d6baf493c8de955ccd0682d/src/lib/select/select.spec.ts,"CircleCI, Jasmine",Run on Specific Platform,Add rounding to dimension comparisons in tests,Refactor Logic Implementation,https://github.com/angular/components/pull/7281,,,,,,,,
test(e2e):'Fix'e2e'flakes'by'setting'default'window'size'(#3234)\n\n*'.\r\n\r\n*'Try'to'make'screenshot'image'size'same'as'before\r\n\r\n*'change'back'to'1024'x'768,https://github.com/angular/components/commit/194714ac83cca420878b80ba30b72643c59e4531,Browser window size caused screenshot test to fail,Layout Difference,https://github.com/angular/components/blob/194714ac83cca420878b80ba30b72643c59e4531/e2e/screenshot.ts,"CircleCI, Jasmine",Unspecified,Set default window size for e2e tests,Refactor Logic Implementation,https://github.com/angular/components/pull/3234,,,,,,,,
Release'8.0.2'(#1890)\n\n*'chore:'bump'version\r\n\r\n*'Update'zone.js'peer'dependency\r\n\r\n*'update'zone.js'in'all'apps\r\n\r\n*'Make'repo'apps'compatible'with'`--bundle`'(#1857)\r\n\r\n*'chore:'upgrade'app'to'latest'versions'and'webpack\r\n\r\n*'chore:'fix'incorrect'temlateUrl'in'component\r\nchore:'update'karma'config'for'latest'CLI'beta'6.0.0\r\n\r\n*'chore:'make'`router-tab-view`'example'webpack'compatible\r\n\r\n*'chore:'make'`nested-router-tab-view`'example'webpack'compatible\r\n\r\n*'chore:'fix'lazy'loaded'component'not'loading\r\n\r\n*'chore:'make'`modal-navigation-ng`'example'webpack'compatible\r\n\r\n*'chore:'add'webpack'config'due'to'issue'in'CLI'that'disregards'the'`nsconfig.json`\r\n\r\n*'chore:'update'test'app'with'latest'deps'and'remove'not'used'd.ts\r\n\r\n*'chore:'update'karma'config\r\n\r\n*'chore:'resolve'issue'caused'by'overrding'`global.__extends'`\r\n\r\n*'chore:'update'Angular'deps\r\n\r\n*'chore:'update'`nativescript-dev-webpack`'to'next\r\n\r\n*'refactor:'unit-test'configs\r\n\r\n*'test:'update'webpack'config\r\n\r\n*'refactor:'remove'deprecated'API'usage'(#1874)\r\n\r\n*'tests:'mocha'reporter'and'include'ts'files'(#1875)\r\n\r\n*'Migrate'from'ReflectiveInjector'(deprecated)'to'StaticInjector'(#1868)\r\n\r\n*'chore:'migrate'to'StaticInjector\r\n\r\n*'chore:'replace'parentInjector'in'detached-loader\r\n\r\n*'feat(tabs):'register'tabs'elements'(#1883)\r\n\r\n*'feat(tabs):'register'tabs'elements\r\n\r\n*'feat(tests-app-ng):'add'tabs'component\r\n\r\n*'chore:'fix'android28'animation'tests'(#1885)\r\n\r\n*'chore:'retry'a'flaky'test'on'failure'(#1886)\r\n\r\n*'release:'cut'the'8.0.2'release,https://github.com/NativeScript/nativescript-angular/commit/1cc842049014cd2763e4bd413dff465b06166c58,navigate and back,Test Order Dependency,https://github.com/NativeScript/nativescript-angular/blob/bbb2b0f6a118b1e17717591c101760caa6cdc14d/e2e/nested-router-tab-view/e2e/tab-view.e2e-spec.ts,"travis-ci, appium",Unspecified,Added retry,Refactor Logic Implementation,https://github.com/NativeScript/nativescript-angular/pull/1886,,,,,,,,
Tests'fixes'(#1640)\n\n*'increace'tests'timeout\r\n\r\n*'icreace'timeout\r\n\r\n*'show'crash'message\r\n\r\n*'test'fixes\r\n\r\n*'stop'app\r\n\r\n*'fix'onboarding'and'goal'tests\r\n\r\n*'fix'streamboss'and'output'settings\r\n\r\n*'clean\r\n\r\n*'disable'goal'tests\r\n\r\n*'disable'more'tests\r\n\r\n*'run'only'flaky\r\n\r\n*'disable'stream'boss'test\r\n\r\n*'add'more'logs\r\n\r\n*'disable'pause\r\n\r\n*'add'additional'logging\r\n\r\n*'add'logs\r\n\r\n*'wait'for'loader\r\n\r\n*'get'rid'of'clickWhenReady\r\n\r\n*'udpate'widget'events'listener\r\n\r\n*'return'click'to'setup'later\r\n\r\n*'change'order'of'events\r\n\r\n*'fix'listener\r\n\r\n*'optimize'form'fill\r\n\r\n*'run'all'tests\r\n\r\n*'clean'TODO\r\n\r\n*'restore'streamboss'test\r\n\r\n*'disable'websockets\r\n\r\n*'get'rid'of'logs'in'widgets,https://github.com/stream-labs/streamlabs-obs/commit/c993316b945258cce272704d925bbdeace48f62a,fill action before waiting func,Resource Rendering,https://github.com/stream-labs/streamlabs-obs/blob/c993316b945258cce272704d925bbdeace48f62a/test/widgets/goals.ts,Azure pipeline,Unspecified,put fill action as callback func,Refactor Logic Implementation,https://github.com/stream-labs/streamlabs-obs/pull/1640,,,,,,,,
Add'@flaky'flag'to'click-to-select'tests'[1852]\n\n-'Reason:'some'tests'ran'into'async'timeout'issues'on'CI.,https://github.com/plotly/plotly.js/commit/7da973b6c5e219fe6def91bf587c63fc1bba56ad,mock plot function,Resource Rendering,https://github.com/plotly/plotly.js/blob/7da973b6c5e219fe6def91bf587c63fc1bba56ad/test/jasmine/tests/select_test.js,"circle.ci, jasmine",Provide Example,added flaky tag,Mark Test as Flaky,https://github.com/plotly/plotly.js/issues/1852,,,,,,,,
feat(button):'Add'overflow'ellipsis'mixin'(#5352)\n\n*'feat(button):'Add'overflow'ellipsis'mixin\r\n\r\n*'WIP'try'to'fix'flaky'tests\r\n\r\n*'WIP'json'is'dumb,https://github.com/material-components/material-components-web/commit/47949b08e0a2ec82178c638d8074c34c745409b4,invalid textarea; delay not enough,Platform Issue,https://github.com/material-components/material-components-web/blob/05a35e675d6644a64605264f2191b22be477f18b/test/screenshot/diffing.json,"travis, jasmine, Sauce Labs, CrossBrowserTesting, karma, webdriver",Unspecified,skip,Remove Test,https://github.com/material-components/material-components-web/pull/5352,,,,,,,,
"chore(infrastructure):'Increase'IE/Edge'flake'tolerance'(#3333)\n\n###'What'it'does\r\n\r\n-'Adds'config'options'in'`diffing.json`'to'fine-tune'flaky'screenshot'test'behavior:\r\n\r\n''''-'Knobs:\r\n''''''''-'Number'of'retry'attempts\r\n''''''''-'Delay'before'retrying\r\n''''''''-'Font'loading'timeout\r\n''''-'Global'settings'for'all'browsers'and'URLs:\r\n''''''''-'`2`'retries\r\n''''''''-'`50ms`'font'load'delay:'Gives'the'browser'time'to're-render'page'content'w/'new'fonts\r\n''''''''-'`500ms`'page'load'delay'when'retrying:'Allows'janky'rendering'to'settle\r\n''''-'IE/Edge-specific'settings'for'all'URLs:\r\n''''''''-'`4`'retries:'Microsoft'browsers'flake'more'often'than'Chrome/Firefox/Safari\r\n''''''''-'`300ms`'font'load'delay:'Gives'IE/Edge'extra'time'to're-render'page'content'w/'new'fonts\r\n''''-'IE/Edge-specific'settings'for'`mdc-textfield`'and'`mdc-typography`'URLs:\r\n''''''''-'`6`'retries:'I've'seen'them'fail'up'to'5'times'before'finally'passing\r\n''''''''-'`500ms`'font'load'delay:'Gives'`MDCTextField`'jank'time'to'settle\r\n<br>\r\n\r\n-'Adds'a'`FlakeConfig`'field'to'every'`Screenshot`'so'that'specific'browsers/URLs'can'have'different'timeouts'and'tolerances\r\n\r\n-'Adds'optional'URL'query'params'to'all'test'pages:\r\n''''-'E.g.:'`focused.html?font_face_observer_timeout_ms=3000&fonts_loaded_reflow_delay_ms=100`\r\n''''-'Values'come'from'`Screenshot.flake_config`.'If'no'values'are'passed,'sensible'defaults'for'local'development'are'used.\r\n''''-'Adds'npm'dependency:'[`url-search-params-polyfill`](https://www.npmjs.com/package/url-search-params-polyfill)'(polyfill'for'[`URLSearchParams`](https://developer.mozilla.org/en-US/docs/Web/API/URLSearchParams))\r\n<br>\r\n\r\n-'Stops'uploading'empty'(0px)'diff'images'to'GCS\r\n\r\n-'Improves'Selenium'session'termination:\r\n''''-'During'session'startup,'if'one'VM'fails'by'throwing'an'error,'we'now'wait'for'all'other'browsers'to'finish'starting'up'so'that'they'can'be'terminated''normally''by'calling'`driver.quit()`.'Previously,'any'VMs'that'hadn't'finished'starting'when'another'VM'threw'an'error'would'become'zombie'sessions.'There'were'only'two'ways'to'clean'them'up:'A)'manually'kill'them'in'the'CBT'UI;'or'B)'wait'2'minutes'and'rerun'the'tests'(sessions'with'no'activity'for'at'least'2'minutes'are'automatically'killed'on'startup).\r\n''''-'`SIGINT`'(<kbd>Ctrl</kbd>+<kbd>C</kbd>)'and'`SIGTERM`'(`kill`)'handlers'wait'for'all'sessions'to'finish'starting'before'killing'them,'for'the'same'reasons'described'in'the'previous'bullet.'This'makes'the'session'termination'much'more'robust.\r\n''''-'Changes'`process.exit(code)`'to'`process.exitCode'='code`'in'`run.js`.'The'former'causes'Node'to'exit'immediately'without'waiting'for'CBT'Selenium'cancellation'requests'to'complete,'whereas'the'latter'causes'Node'to'wait'for'all'timers'and'unresolved'Promises'before'exiting.\r\n<br>\r\n\r\n-'Changes'`Metadata`'table'headings:\r\n''''-'`Author'Name`'\u2192'`Host'User`\r\n''''-'`Author'OS`'\u2192'`Host'OS`\r\n\r\n###'Example'output\r\n\r\n####'Flaky'MS'Edge'`text-field`'page'passes'after'`attempt'5'of'6`:\r\n\r\n![screenshot](https://user-images.githubusercontent.com/409245/43988127-b3aea150-9ce3-11e8-8094-d43e6619b4b7.png)",https://github.com/material-components/material-components-web/commit/f54d42e566744bd415a6515845eb08359c7fc285,render waiting time may not enough; edge broswer issue,Platform Issue,https://github.com/material-components/material-components-web/blob/f54d42e566744bd415a6515845eb08359c7fc285/test/screenshot/diffing.json,"travis, jasmine, Sauce Labs, CrossBrowserTesting, karma, webdriver",Run on Specific Platform,set config for flaky tests,Mark Test as Flaky,https://github.com/material-components/material-components-web/pull/3333,,,,,,,,
"chore(infrastructure):'Increase'SL'timeout'and'disable'N-1/N+1'browsers'(#3182)\n\n###'What'it'does\r\n\r\n*'Changes'the'timeout'for'individual'test'cases'on'Sauce'Labs'from'2'seconds'to'10'seconds\r\n*'Disables'unnecessary'browsers:'Chrome'N+1'(dev),'Chrome'N-1,'and'Firefox'N-1\r\n''''-'Our'SL'account'only'allows'`5`'concurrent'tests\r\n''''-'Unit'tests'now'run'in'`4`'browsers'instead'of'`7`:\r\n''''''''*'Chrome'latest'(desktop)\r\n''''''''*'Firefox'latest\r\n''''''''*'IE'11\r\n''''''''*'Safari'(mobile)\r\n-'Enables'[extended'debugging](https://wiki.saucelabs.com/pages/viewpage.action?pageId=70072943)'(capturing'browser'console'logs)'in'Chrome'and'Firefox\r\n\r\nAFAIK'the'only'way'to'verify'this'PR'is'to'run'it'repeatedly'on'Travis'and'look'for'the'errors'listed'below.\r\n\r\nRefs'#3191\r\n\r\n###'Why\r\n\r\nThis'PR'attempts'to'work'around'two'specific'types'of'flakes'I've'seen'repeatedly'on'Sauce'Labs:\r\n\r\n####'Timeouts'on'individual'test'cases'that'use'`requestAnimationFrame()`'or'`setTimeout()`\r\n\r\n```\r\nIE'11.0.0'(Windows'8.1.0.0)'MDCSliderFoundation'-'pointer'events'on'touchstart'takes'RTL'into'account'when'computing'the'slider's'value'using'the'X'coordinate'of'the'event'FAILED\r\n''Timeout'of'2000ms'exceeded.'For'async'tests'and'hooks,'ensure''done()''is'called;'if'returning'a'Promise,'ensure'it'resolves.\r\nIE'11.0.0'(Windows'8.1.0.0)'MDCSliderFoundation'-'pointer'events'on'touchstart'adds'the'mdc-slider--active'class'to'the'root'element'FAILED\r\n''Timeout'of'2000ms'exceeded.'For'async'tests'and'hooks,'ensure''done()''is'called;'if'returning'a'Promise,'ensure'it'resolves.\r\n........\r\nIE'11.0.0'(Windows'8.1.0.0)'MDCSliderFoundation'-'pointer'events'on'body'touchmove'updates'the'slider's'value'based'on'the'X'coordinate'of'the'event'FAILED\r\n''Timeout'of'2000ms'exceeded.'For'async'tests'and'hooks,'ensure''done()''is'called;'if'returning'a'Promise,'ensure'it'resolves.\r\n.\r\nIE'11.0.0'(Windows'8.1.0.0)'MDCSliderFoundation'-'pointer'events'on'body'touchmove'notifies'discrete'slider'pin'value'marker'to'change'value'FAILED\r\n''Timeout'of'2000ms'exceeded.'For'async'tests'and'hooks,'ensure''done()''is'called;'if'returning'a'Promise,'ensure'it'resolves.\r\nIE'11.0.0'(Windows'8.1.0.0)'MDCSliderFoundation'-'pointer'events'on'body'touchend'removes'the'mdc-slider--active'class'from'the'component'FAILED\r\n''Timeout'of'2000ms'exceeded.'For'async'tests'and'hooks,'ensure''done()''is'called;'if'returning'a'Promise,'ensure'it'resolves.\r\n```\r\n\r\n####'Concurrency'limits\r\n\r\nOur'SL'account'is'limited'to'5'concurrent'tests.'We'constantly'blow'past'that'limit'because'`karma.conf.js`'tests'_7_'browsers'on'every'single'commit.\r\n\r\nThis,'in'turn,'causes'subsequent'SL'requests'to'enqueue,'which'can'lead'to'test'suite'timeouts:\r\n\r\n```\r\nWARN'[launcher]:'Safari'on'SauceLabs'have'not'captured'in'240000'ms,'killing.\r\nINFO'[launcher]:'Trying'to'start'Safari'on'SauceLabs'again'(1/2).\r\n...\r\nWARN'[launcher]:'Safari'on'SauceLabs'have'not'captured'in'240000'ms,'killing.\r\nINFO'[launcher]:'Trying'to'start'Safari'on'SauceLabs'again'(2/2).\r\n```\r\n\r\n[SL'logs](https://saucelabs.com/beta/tests/696708e0fd284bc6b2a03ce6a8decb4f):\r\n\r\n![image](https://user-images.githubusercontent.com/409245/43157525-29256050-8f32-11e8-8e65-fb6e83fe6930.png)\r\n\r\n###'Possible'root'causes'of'flaky'unit'tests'on'SL\r\n\r\nMost'likely:\r\n\r\n*'**Concurrency'limit**:'We'have'a'free'OSS'account'on'SL,'which'gives'us'5'concurrent'tests.'We'currently'run'unit'tests'in'7'browsers,'including'Chrome'N+1,'Chrome'N-1,'and'Firefox'N-1.\r\n*'**Traffic'congestion**:'SL'might'get'overloaded'during'peak'hours'and'queue'our'tests'for'a'long'time\r\n\r\nLess'likely,'but'possible:\r\n\r\n*'Buggy'implementation'and/or'usage'of'mock'`requestAnimationFrame()`'in'[`test/unit/helpers/raf.js`](https://github.com/material-components/material-components-web/blob/bc500f247c9c0dcaaa81f9c3a9f93de22ca83480/test/unit/helpers/raf.js#L32)\r\n*'Buggy'implementation'and/or'usage'of'`lolex`'(mock'`setTimeout()`)\r\n\r\n###'Other'Sauce'Labs'errors\r\n\r\nThis'one'connected'OK,'but'kept'sending'the'`GET'title`'command'repeatedly'and'then'gave'up.\r\n\r\n[SL'logs](https://saucelabs.com/beta/tests/cd8e1a1b7c414217b140126c52f068d1):\r\n\r\n![image](https://user-images.githubusercontent.com/409245/43158106-ae96c89a-8f33-11e8-93b8-954edb71c4ea.png)",https://github.com/material-components/material-components-web/commit/ce8e724b0476d2a8a27cc3f5264da30eb02991d1,Concurrency limit; Traffic congestion,Platform Issue,https://github.com/material-components/material-components-web/blob/ce8e724b0476d2a8a27cc3f5264da30eb02991d1/karma.conf.js,"travis, jasmine, Sauce Labs, CrossBrowserTesting, karma, webdriver",Run on Specific Platform,Changes the timeout for individual test cases on Sauce Labs from 2 seconds to 10 seconds; Disables unnecessary browsers,Add/Increase Delay,https://github.com/material-components/material-components-web/pull/3333,,,,,,,,
"chore(infrastructure):'Automatically'retry'screenshots'up'to'3'times'to'reduce'flakes'(#3072)\n\n###'How'to'test\r\n\r\nRun'this'command'over'and'over,'and'scan'the'console'output'for'lines'that'start'with''Retry':\r\n\r\n```bash\r\nnpm'run'screenshot:test'--'\\\r\n''--url=mdc-button/classes/baseline-button-with-icons.html'\\\r\n''--browser=desktop_windows_ie@11\r\n```\r\n\r\n###'What'it'does\r\n\r\n-'Automatically'retries'screenshots'that'have'diffs'up'to'3'times\r\n''''-'Minimizes'noisy'diffs'due'to'flaky'browser'rendering\r\n''''-'Significantly'reduces'noise'across'all'4'browsers,'especially'IE'11'\U0001f4a9\r\n-'Compares'each'screenshot'to'its'golden'counterpart'immediately'after'capturing'it,'instead'of'waiting'until'all'screenshots'have'been'captured\r\n-'Adds'`--retries`'and'`--max-parallels`'CLI'options\r\n-'Fixes'buggy'parsing'of'`--diff-base`'local'`golden.json`'files\r\n-'Increases'the'minimum'pixel'diff'threshold'from'10'pixels'to'15'pixels\r\n''''-'Avoids'noisy'FAB'diffs'in'Edge\r\n-'Changes'the'`min-width`'button'label'text'from'`\u662f`'to'`+`\r\n''''-'Fixes'flaky'font'rendering'in'Firefox\r\n-'Updates'`golden.json`'with'new'`min-width`'button'screenshots\r\n-'Returns'a'non-zero'exit'code'from'the'`npm'run'screenshot:test`'if'there'are'any'screenshot'changes'(diffs/added/removed)\r\n''''-'Necessary'for'Travis'CI'(and'to'be'consistent'with'UNIX'conventions)\r\n-'Removes'`fixture.js`'from'`.eslintignore`\r\n-'Renames'`resemble.json`'to'`diffing.json`\r\n-'Updates'example'report'links'and'console'output'in'README\r\n\r\n###'Example'output\r\n\r\nReport'page:\r\n\r\n-'https://storage.googleapis.com/mdc-web-screenshot-tests/advorak/2018/07/14/07_08_26_379/report/report.html\r\n\r\nConsole'output:\r\n\r\n```\r\nGET'https://storage.googleapis.com/mdc-web-screenshot-tests/advorak/2018/07/14/07_25_45_444/mdc-button/classes/baseline-button-with-icons.html'>'desktop_windows_ie@11...\r\nCropped'https://storage.googleapis.com/mdc-web-screenshot-tests/advorak/2018/07/14/07_25_45_444/mdc-button/classes/baseline-button-with-icons.html'>'desktop_windows_ie@11'image'from'384x687'to'348x628\r\nRetrying'mdc-button/classes/baseline-button-with-icons.html'>'desktop_windows_ie@11'(attempt'1'of'3).'1,873'pixels'differed'(0.9%'of'348x628)\r\n```",https://github.com/material-components/material-components-web/commit/bbff28d92a81f587a504e32cb895a55e4d44c2e6,font render in firefox,Platform Issue,https://github.com/material-components/material-components-web/blob/bbff28d92a81f587a504e32cb895a55e4d44c2e6/test/screenshot/mdc-button/classes/baseline-button-without-icons.html; https://github.com/material-components/material-components-web/blob/bbff28d92a81f587a504e32cb895a55e4d44c2e6/test/screenshot/mdc-button/classes/baseline-link-without-icons.html; https://github.com/material-components/material-components-web/blob/bbff28d92a81f587a504e32cb895a55e4d44c2e6/test/screenshot/mdc-button/classes/dense-button-without-icons.html; https://github.com/material-components/material-components-web/blob/bbff28d92a81f587a504e32cb895a55e4d44c2e6/test/screenshot/mdc-button/classes/dense-link-without-icons.html; https://github.com/material-components/material-components-web/blob/bbff28d92a81f587a504e32cb895a55e4d44c2e6/test/screenshot/mdc-button/mixins/horizontal-padding-baseline.html; https://github.com/material-components/material-components-web/blob/bbff28d92a81f587a504e32cb895a55e4d44c2e6/test/screenshot/mdc-button/mixins/horizontal-padding-dense.html,"travis, jasmine, Sauce Labs, CrossBrowserTesting, karma, webdriver",Provide Steps,"changes ""是"" to ""+""",Refactor Logic Implementation,https://github.com/material-components/material-components-web/commit/bbff28d92a81f587a504e32cb895a55e4d44c2e6,,,,,,,,
"fix(infrastructure):'Ensure'grid'pattern'renders'correctly'in'IE'(#2729)\n\n###'How'to'test\r\n\r\n```bash\r\nexport'CBT_USERNAME='...'\r\nexport'CBT_AUTHKEY='...'\r\nexport'MDC_GCLOUD_SERVICE_ACCOUNT_KEY_FILE_PATH='...'\r\n\r\nnpm'run'screenshot:build\r\nnpm'run'screenshot:test\r\n\r\necho''.mdc-button:not(:disabled){color:red}''>>'packages/mdc-button/mdc-button.scss\r\necho''.mdc-button:disabled{margin-left:10px}''>>'packages/mdc-button/mdc-button.scss\r\nnpm'run'screenshot:build\r\nnpm'run'screenshot:test'--'--mdc-include-url=button/classes/'--mdc-include-browser=ie@11\r\n```\r\n\r\n###'What'it'does\r\n\r\n-'Uses'PNG'`background-image`'instead'of'`linear-gradient`\r\n-'Adds'Webpack'loader'`base64-inline-loader`'to'base64-encode'`data:`'URIs'from'background'images'in'Sass\r\n\r\nIE'occasionally'renders'the'`linear-gradient`'version'incorrectly,'shifting'it'1px'to'the'left,'which'generates'noisy,'flaky'diffs.",https://github.com/material-components/material-components-web/commit/34f73e832f8f12cccbf981af8153f34e4e2436b9,IE occasionally renders the `linear-gradient` version incorrectly,Platform Issue,https://github.com/material-components/material-components-web/blob/34f73e832f8f12cccbf981af8153f34e4e2436b9/test/screenshot/fixture.scss,,Provide Steps,Uses PNG `background-image` instead of `linear-gradient`; Adds Webpack loader `base64-inline-loader` to base64-encode `data:` URIs from background images in Sass,Use Workaround,https://github.com/material-components/material-components-web/pull/2729,,,,,,,,
Mark'modal'window'test'as'flaky,https://github.com/qutebrowser/qutebrowser/commit/8bf7cb539ad44076deabed1740c4cfe29adb1252,Modal open/close test is flaky,Resource Rendering,https://github.com/qutebrowser/qutebrowser/blob/8bf7cb539ad44076deabed1740c4cfe29adb1252/tests/end2end/features/javascript.feature,"Travis, Conftest",Unspecified,added flaky tag,Mark Test as Flaky,,,,,,,,,
Mark'opening/closing'window'via'JS'test'as'flaky,https://github.com/qutebrowser/qutebrowser/commit/4a78519b63774661a05ed0aa2f4a4a9675bdc425,Window open/close via JS test is flaky,Resource Rendering,https://github.com/qutebrowser/qutebrowser/blob/4a78519b63774661a05ed0aa2f4a4a9675bdc425/tests/end2end/features/javascript.feature,"Travis, Conftest",Unspecified,added flaky tag,Mark Test as Flaky,,,,,,,,,
Mark'another'window.open'test'as'flaky\n\nSee'https://travis-ci.org/qutebrowser/qutebrowser/jobs/277846887,https://github.com/qutebrowser/qutebrowser/commit/192c063743328916ec00aa26c017aecd76533ced,Window open without user interaction via JS is flaky,Resource Rendering,https://github.com/qutebrowser/qutebrowser/blob/192c063743328916ec00aa26c017aecd76533ced/tests/end2end/features/javascript.feature,"Travis, Conftest",Unspecified,added flaky tag,Mark Test as Flaky,,,,,,,,,
Mark'window.open'test'as'flaky,https://github.com/qutebrowser/qutebrowser/commit/f6d878f33f863753a8729c72fdb14eed5b7ea667,Window open without user interaction with javascript.can_open_tabs_automatically set to true is flaky,Resource Rendering,https://github.com/qutebrowser/qutebrowser/blob/f6d878f33f863753a8729c72fdb14eed5b7ea667/tests/end2end/features/javascript.feature,"Travis, Conftest",Unspecified,added flaky tag,Mark Test as Flaky,,,,,,,,,
Wait'for'`entry-menu`'before'trying'to'click'it.\n\nThis'*may*'prevent'some'of'the'intermittent'errors'in'the'Timesheet'tests.'Maybe.,https://github.com/overshard/timestrap/commit/b1bc72d7e062027255bdd34285db87c2677df8a3,entry-menu intermittently not loaded before click,Resource Rendering,https://github.com/overshard/timestrap/blob/b1bc72d7e062027255bdd34285db87c2677df8a3/core/tests/tests_selenium.py,,Unspecified,added waitForPresence func,Fix Await Mechanism,,,,,,,,,
